Date,NIFTY 50 Closing Price,NIFTY 50 Log Return,XAU/INR (Gold) Closing Price,XAU/INR (Gold) Log Return,USD/INR Closing Price,USD/INR Log Return,10-Year BOND YIELD Closing Price,10-Year BOND YIELD Log Return,INDIA VIX Closing Price
12/31/2024,"23,644.80",-,"2,24,478",-,85.554,-,6.759,-,14.4475
12/30/2024,"23,644.90",0.0000042,"2,22,782",-0.00758,85.474,-0.000935519,6.775,0.016,13.9725
12/27/2024,"23,813.40",0.007101,"2,23,717",0.00419,85.388,-0.00100666,6.787,0.012,13.2375
12/26/2024,"23,750.20",-0.0026575,"2,24,435",0.0032,85.254,-0.00157054,6.784,-0.003,14.035
12/24/2024,"23,727.65",-0.0009499,"2,22,639",-0.00803,85.198,-0.000657077,6.776,-0.008,13.1775
12/23/2024,"23,753.45",0.0010867,"2,22,582",-0.00026,85.176,-0.000258255,6.776,0,13.52
12/20/2024,"23,587.50",-0.0070109,"2,22,267",-0.00142,85.095,-0.000951425,6.791,0.015,15.0725
12/19/2024,"23,951.70",0.0153224,"2,22,628",0.00162,84.947,-0.001740747,6.787,-0.004,14.51
12/18/2024,"24,198.85",0.0102658,"2,20,694",-0.00873,85.088,0.001658482,6.751,-0.036,14.3725
12/17/2024,"24,336.00",0.0056516,"2,19,383",-0.00596,84.867,-0.00260069,6.759,0.008,14.485
12/16/2024,"24,668.25",0.0135603,"2,24,662",0.02378,84.902,0.000412325,6.741,-0.018,14.02
12/13/2024,"24,768.30",0.0040476,"2,25,142",0.00213,84.89,-0.000141349,6.729,-0.012,13.0525
12/12/2024,"24,548.70",-0.0089057,"2,24,559",-0.00259,84.782,-0.001273045,6.736,0.007,13.19
12/11/2024,"24,641.80",0.0037853,"2,27,350",0.01235,84.825,0.000507055,6.718,-0.018,13.2675
12/10/2024,"24,610.05",-0.0012893,"2,30,324",0.013,84.795,-0.000353732,6.705,-0.013,13.7775
12/09/2024,"24,619.00",0.0003636,"2,28,516",-0.00788,84.88,0.001001916,6.717,0.012,14.1075
12/06/2024,"24,677.80",0.0023856,"2,25,579",-0.01294,84.829,-0.000601029,6.74,0.023,14.14
12/05/2024,"24,708.40",0.0012392,"2,22,923",-0.01184,84.668,-0.001899739,6.68,-0.06,14.5275
12/04/2024,"24,467.45",-0.0097996,"2,22,793",-0.00058,84.684,0.000188956,6.686,0.006,14.45
12/03/2024,"24,457.15",-0.0004211,"2,24,403",0.0072,84.693,0.000106272,6.714,0.028,14.3725
12/02/2024,"24,276.05",-0.0074323,"2,23,808",-0.00266,84.676,-0.000200745,6.71,-0.004,14.7
11/29/2024,"24,131.10",-0.0059888,"2,23,525",-0.00127,84.74,0.000755537,6.751,0.041,14.425
11/28/2024,"23,914.15",-0.0090311,"2,24,381",0.00382,84.559,-0.00213823,6.805,0.054,15.205
11/27/2024,"24,274.90",0.0149726,"2,23,016",-0.0061,84.445,-0.001349081,6.812,0.007,14.625
11/26/2024,"24,194.50",-0.0033176,"2,22,655",-0.00162,84.41,-0.000414557,6.827,0.015,15.305
11/25/2024,"24,221.90",0.0011318,"2,22,020",-0.00286,84.319,-0.001078653,6.822,-0.005,15.3025
11/22/2024,"23,907.25",-0.0130754,"2,20,968",-0.00475,84.26,-0.000699969,6.85,0.028,16.0975
11/21/2024,"23,349.90",-0.0235891,"2,29,013",0.03576,84.426,0.001968154,6.831,-0.019,15.99
11/19/2024,"23,518.50",0.0071946,"2,25,327",-0.01623,84.495,0.00081695,6.811,-0.02,15.6625
11/18/2024,"23,453.80",-0.0027548,"2,23,590",-0.00774,84.36,-0.001599005,6.821,0.01,15.1675
11/14/2024,"23,532.70",0.0033584,"2,22,106",-0.00666,84.39,0.000355556,6.827,0.006,14.775
11/13/2024,"23,559.05",0.0011191,"2,20,378",-0.00781,84.398,9.48E-05,6.804,-0.023,15.435
11/12/2024,"23,883.45",0.0136757,"2,16,228",-0.01901,84.424,0.000308017,6.795,-0.009,14.59
