stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column,target
BANKNIFTY,7,XGBoostSeq,dl_univariate,263.86075427551987,1038493.5966142927,306.51698444106114,0.51416484003912,1.4332244895168555,1.4282627736252174,1.394981980649568,-0.7353161300630087,Close,Close
BANKNIFTY,15,XGBoostSeq,dl_univariate,263.86075427551987,1489742.0312438966,306.51698444106114,0.51416484003912,1.940850611186357,1.9337037830463737,1.9182028999949847,-0.42443547544267224,Close,Close
BANKNIFTY,30,XGBoostSeq,dl_univariate,263.86075427551987,1123803.1865332285,306.51698444106114,0.51416484003912,1.6264990613146724,1.627388284539168,1.6084685712271785,-0.026794825917253906,Close,Close
HDFCBANK,7,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,6.348256728070237,346.19145212577706,8.46776245326335,0.715394247148597,1.6126130613177,1.6109096591032157,1.5707350224459453,-0.9906479677046109,Close,Close
HDFCBANK,15,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,6.348256728070237,288.8586408053804,8.46776245326335,0.715394247148597,1.5632553721764166,1.5662064844916959,1.5598679191414124,0.4106591791677794,Close,Close
HDFCBANK,30,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,6.348256728070237,1276.4331539261277,8.46776245326335,0.715394247148597,3.38933929962555,3.35629708493683,3.345763980966046,-2.28486404633413,Close,Close
NIFTY50,7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,197.87615565561208,209609.32618345533,236.52425049464702,0.8269774258142712,1.7436429934424218,1.737963658980541,2.319735731060207,-0.7247116301773686,Close,Close
NIFTY50,15,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,197.87615565561208,312330.9614383062,236.52425049464702,0.8269774258142712,2.187394457657181,2.173471079969251,2.939470079896652,-0.9065169798808745,Close,Close
NIFTY50,30,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,197.87615565561208,282342.3864450455,236.52425049464702,0.8269774258142712,1.952687496700718,1.9453077640566678,2.6219523110927807,-0.6140077834315469,Close,Close
RELIANCE,7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,7.090871595921681,777.4766974285501,10.09605452046412,0.5829218344557021,1.8315684154687817,1.8273326389275635,1.5638984103140134,-0.08307259514646947,Close,Close
RELIANCE,15,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,7.090871595921681,1807.5807273878977,10.09605452046412,0.5829218344557021,2.9426570836208916,2.917298016037464,2.537857688135384,-1.2509767023228608,Close,Close
RELIANCE,30,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,7.090871595921681,1194.5080901431324,10.09605452046412,0.5829218344557021,2.368768728739466,2.3692902207604294,2.0200623124373123,0.1068159248598054,Close,Close
TCS,7,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,50.86247349117362,33411.17806968749,61.43217904542899,1.282155583991166,4.057346078723899,4.0091023165830535,4.273478510388526,-1.9455220136168996,Close,Close
TCS,15,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,50.86247349117362,25585.222747615757,61.43217904542899,1.282155583991166,2.771029738159949,2.77664798251072,3.0133196627616385,-0.9959281670051974,Close,Close
TCS,30,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,50.86247349117362,31590.254806708606,61.43217904542899,1.282155583991166,3.4407654510919103,3.461854161352783,3.73867126202078,-1.2792740409551606,Close,Close
