stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column,target
HDFCBANK,7,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,6.348256728070237,,8.46776245326335,0.715394247148597,,,,,,Close
RELIANCE,7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,7.090871595921681,,10.09605452046412,0.5829218344557021,,,,,,Close
HDFCBANK,7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,10.635730534626452,,11.998384537566908,1.2057274393918422,,,,,,Close
RELIANCE,7,BiLSTM,dl_univariate,11.73732168156621,,15.376903551022865,0.9667986495626439,,,,,,Close
RELIANCE,7,XGBoostSeq,dl_multivariate,14.577267385620189,,17.116643662116363,1.196148883917435,,,,,,Close
HDFCBANK,7,Transformer,dl_univariate,15.55142576950575,,18.21453678879266,1.7461030083380662,,,,,,Close
RELIANCE,7,XGBoostSeq,dl_univariate,15.572372194651416,,18.291877566392337,1.274878650801214,,,,,,Close
HDFCBANK,7,WeightedEnsemble,autogluon_timeseries,14.083586137610089,346.19145212577706,18.606220791062785,1.5903344866382785,1.6126130613177,1.6109096591032157,1.5707350224459453,-0.9906479677046109,,
HDFCBANK,7,ETS,autogluon_internal,14.083586137610089,346.19145212577706,18.606220791062785,1.5903344866382785,1.6126130613177,1.6109096591032157,1.5707350224459453,-0.9906479677046109,,
HDFCBANK,7,arima,flaml,14.50762950620518,361.16744527738035,19.004405943816828,1.6387003003125362,1.66187879630761,1.6594126150743724,1.6180283583605501,-1.076761966616306,,
HDFCBANK,7,AutoARIMA,statsforecast,14.759320548943865,372.0756359587011,19.289262193217787,1.667274140597948,1.6911239616606561,1.6882015561789931,1.6460993291916115,-1.139485547680394,,
HDFCBANK,7,RecursiveTabular,autogluon_internal,16.194004603794514,383.0405411890514,19.57142154236762,1.8539922124645856,1.830195911069801,1.8523036803921138,1.806108894161765,-1.202535245120469,,
HDFCBANK,7,Naive,autogluon_internal,14.977887834821558,391.6443129086127,19.790005379196153,1.6912799020382248,1.7165368571342468,1.7132017335872236,1.6704760246819907,-1.2520081035142012,,
HDFCBANK,7,Theta,autogluon_internal,15.941130089419842,427.3470909261959,20.672375067374237,1.80122449732897,1.8288389658147213,1.8233793713583974,1.7779059313558931,-1.4573039364000158,,
RELIANCE,7,Transformer,dl_univariate,19.72473574636515,,22.251812122853263,1.6265257089560825,,,,,,Close
