model,library,horizon,mean_rmse,std_rmse,n_stocks
XGBoostSeq,dl_univariate,7,177.70776373064288,188.16238974892562,5
XGBoostSeq,dl_multivariate,7,183.1055693134246,192.76266967047204,5
RecursiveTabular,autogluon_internal,7,370.74966639370695,461.9342614227855,5
AutoARIMA,statsforecast,7,384.1460929255869,465.53682951608386,5
ETS,autogluon_internal,7,387.0047019622835,482.5611485553913,5
Naive,autogluon_internal,7,392.5966961522155,482.9186113577379,5
Theta,autogluon_internal,7,407.13587288146005,504.1107665633133,5
BiLSTM,dl_univariate,7,427.7344844407047,400.7105993479333,5
BiLSTM,dl_multivariate,7,440.2353220080904,506.0813845051801,5
DirectTabular,autogluon_internal,7,445.443957938461,424.2552997535652,5
XGBoostSeq,dl_univariate,15,177.70776373064288,188.16238974892562,5
XGBoostSeq,dl_multivariate,15,183.1055693134246,192.76266967047204,5
BiLSTM,dl_univariate,15,427.7344844407047,400.7105993479333,5
DirectTabular,autogluon_internal,15,432.91705387726523,481.119535836036,5
BiLSTM,dl_multivariate,15,440.2353220080904,506.0813845051801,5
original/XGBoost,classical,15,490.4590982271799,671.1412308393275,5
original/RandomForest,classical,15,503.52020827694616,649.774501578204,5
RecursiveTabular,autogluon_internal,15,532.7701311227909,732.9229484255442,5
original/ExpSmoothing,classical,15,598.8975533680803,855.6074671386876,5
WeightedEnsemble,autogluon_timeseries,15,603.2194508197326,838.4983018836441,5
XGBoostSeq,dl_univariate,30,177.70776373064288,188.16238974892562,5
XGBoostSeq,dl_multivariate,30,183.1055693134246,192.76266967047204,5
DirectTabular,autogluon_internal,30,416.7309839237931,408.9411574725947,5
BiLSTM,dl_univariate,30,427.7344844407047,400.7105993479333,5
BiLSTM,dl_multivariate,30,440.2353220080904,506.0813845051801,5
original/XGBoost,classical,30,490.4590982271799,671.1412308393275,5
RecursiveTabular,autogluon_internal,30,491.0169118969208,658.7822933482203,5
original/RandomForest,classical,30,503.52020827694616,649.774501578204,5
ETS,autogluon_internal,30,568.6163778495358,754.5330112532392,5
AutoARIMA,statsforecast,30,575.302783595467,735.9476571038562,5
