stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column
BANKNIFTY,7,decomposition+model/XGBoost,classical,6.900152896553686e-05,1.3234597641992191e-08,9.748977800524768e-05,97758.71723484833,102.78933277560553,80.051317751206,0.2970103123171197,0.4073815163550928,Volatility
BANKNIFTY,15,decomposition+model/XGBoost,classical,6.900152896553686e-05,9.554396671127982e-09,9.748977800524768e-05,97758.71723484833,113.63668227957638,108.4664326447519,0.2627989195673345,0.2635925171165907,Volatility
BANKNIFTY,30,decomposition+model/XGBoost,classical,6.900152896553686e-05,9.964374219913026e-09,9.748977800524768e-05,97758.71723484833,118.61425162582442,100.94535751345386,0.23600597574121415,-0.01111738364697934,Volatility
HDFCBANK,7,WeightedEnsemble,autogluon_timeseries,9.664968591974176e-05,1.863601244022516e-08,0.00013651378113664994,2629943.963090943,97.51958194405584,62.270316325286046,0.3318249230468359,0.3804457691571085,Volatility
HDFCBANK,15,decomposition+model/XGBoost,classical,0.00010284483656768875,2.0720932838461598e-08,0.00014092416514523693,317043.6694745792,116.33742964009815,104.13668637274596,0.401920998180821,0.05098381235209404,Volatility
HDFCBANK,30,AutoARIMA,statsforecast,0.00011204957730485717,1.8794005839468504e-08,0.00013709123181104073,931493.8214594427,119.0551115031236,115.63651690640853,0.38469698077953224,-0.1903784865188336,Volatility
NIFTY50,7,original/XGBoost,classical,7.007730920323874e-05,3.340457460281422e-08,0.00011087029887071808,10483110.060881948,103.37260926043605,80.0357633760326,0.78955008767089,0.012115171174394423,Volatility
NIFTY50,15,original/XGBoost,classical,7.007730920323874e-05,1.662980116197603e-08,0.00011087029887071808,10483110.060881948,119.80980699235984,84.4052922561477,0.4912571077038595,0.1590099470121672,Volatility
NIFTY50,30,arima,flaml,6.53970576264729e-05,1.1575403602465508e-08,0.00010758904964012605,2223928.535267038,135.5199371000219,93.4696167068632,0.4320214643726077,0.0837963343428243,Volatility
RELIANCE,7,original/XGBoost,classical,0.00015474650616994354,1.0749076480289489e-07,0.00021793178362722885,5114.803374350977,75.03333652380272,65.79404089008368,0.517481159188032,0.16496712000874403,Volatility
RELIANCE,15,original/XGBoost,classical,0.00015474650616994354,6.527245999653184e-08,0.00021793178362722885,5114.803374350977,61.937477089381495,63.23161635515682,0.34163950672863314,0.08496271299458336,Volatility
RELIANCE,30,original/XGBoost,classical,0.00015474650616994354,5.174268263549121e-08,0.00021793178362722885,5114.803374350977,88.87955463275262,73.4798908472623,0.3011337151708971,-0.07900388230210642,Volatility
TCS,7,original/RandomForest,classical,0.0002257024352685915,3.2247924966679507e-07,0.000348791622062265,2276.7450004878915,109.12324292972227,91.93743499596792,0.9960627685071984,-0.025193555570121928,Volatility
TCS,15,original/RandomForest,classical,0.0002257024352685915,1.8176756246109108e-07,0.000348791622062265,2276.7450004878915,126.511143459731,117.44102688542968,0.793394351035672,0.01566069665587988,Volatility
TCS,30,AutoARIMA,statsforecast,0.00021682506930898807,1.110922813843482e-07,0.00033330508754645223,2495.389569709805,129.07620233793335,122.34513059337017,0.6311346016356193,-0.00566823885117107,Volatility
