stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column
BANKNIFTY,7,decomposition+model/XGBoost,classical,6.900152896553686e-05,,9.748977800524768e-05,97758.71723484833,,,,,Volatility
BANKNIFTY,7,decomposition+model/LSTM,classical,7.060919490806305e-05,,9.998004808757735e-05,94576.07252605207,,,,,Volatility
BANKNIFTY,7,decomposition+model/RandomForest,classical,6.958816997585719e-05,,0.00010276793975772128,88274.17039121197,,,,,Volatility
BANKNIFTY,7,original/XGBoost,classical,8.684105183563832e-05,,0.00010531083352421069,162053.12041841316,,,,,Volatility
NIFTY50,7,original/XGBoost,classical,7.007730920323874e-05,,0.00011087029887071808,10483110.060881948,,,,,Volatility
NIFTY50,7,original/RandomForest,classical,7.567560954529293e-05,,0.0001116276736972499,13624465.592691546,,,,,Volatility
NIFTY50,7,original/ExpSmoothing,classical,7.405409971793445e-05,,0.00011247057869645408,13117948.198944831,,,,,Volatility
NIFTY50,7,original/ARIMA,classical,7.62215325656609e-05,,0.0001128355199918265,14105331.695993926,,,,,Volatility
NIFTY50,7,original/LSTM,classical,6.817983687475824e-05,,0.00011340449128211276,10450318.60858,,,,,Volatility
BANKNIFTY,7,original/ExpSmoothing,classical,0.0001006966680205526,,0.00011452714375827179,208960.63704760242,,,,,Volatility
NIFTY50,7,decomposition+model/XGBoost,classical,6.231262729170593e-05,,0.00011500607567677653,5538754.1365781035,,,,,Volatility
BANKNIFTY,7,arima,flaml,8.801165122013757e-05,1.3234597641992191e-08,0.00011504172131010641,20685.301144941845,102.78933277560553,80.051317751206,0.2970103123171197,0.4073815163550928,
NIFTY50,7,decomposition+model/LSTM,classical,6.5068694423227e-05,,0.00011642478020752034,7563449.740621206,,,,,Volatility
NIFTY50,7,decomposition+model/RandomForest,classical,6.32531127144303e-05,,0.00011694647457147751,5557045.167294589,,,,,Volatility
BANKNIFTY,7,original/RandomForest,classical,0.00010178268450805033,,0.00011716318833037976,197976.87021673002,,,,,Volatility
BANKNIFTY,7,decomposition+model/ARIMA,classical,6.570473219628553e-05,,0.00011733880439111174,11074.124761062067,,,,,Volatility
BANKNIFTY,7,original/ARIMA,classical,0.00010675351167903699,,0.00011951128720694498,222806.32029835833,,,,,Volatility
BANKNIFTY,7,decomposition+model/ExpSmoothing,classical,7.322571452534019e-05,,0.0001228079312145414,10232.835466453298,,,,,Volatility
NIFTY50,7,decomposition+model/ARIMA,classical,6.428594100188394e-05,,0.00012299911839828357,3743281.106417472,,,,,Volatility
NIFTY50,7,decomposition+model/ExpSmoothing,classical,6.467287148387997e-05,,0.0001255736648575396,1086883.9579251509,,,,,Volatility
HDFCBANK,7,WeightedEnsemble,autogluon_timeseries,9.664968591974176e-05,1.863601244022516e-08,0.00013651378113664994,2629943.963090943,97.51958194405584,62.270316325286046,0.3318249230468359,0.3804457691571085,
HDFCBANK,7,DirectTabular,autogluon_internal,0.00011205203229189629,1.8781606993253266e-08,0.00013704600320057957,3108744.6328891492,105.80952378564486,72.19387656884578,0.3847054094244635,0.37560547826303614,
HDFCBANK,7,ETS,autogluon_internal,0.00011473643824839053,1.9822684287334262e-08,0.00014079305482634526,3080739.3139252095,97.94422339026487,73.923409432462,0.39392171252429825,0.34099486377395516,
HDFCBANK,7,decomposition+model/XGBoost,classical,0.00010284483656768875,,0.00014092416514523693,317043.6694745792,,,,,Volatility
HDFCBANK,7,decomposition+model/LSTM,classical,0.00010343188762825091,,0.0001413797146452902,355795.6681645352,,,,,Volatility
