horizon,mae,mape,model_col,mse,r2,rmse,source,stock
7,6.900152896553686e-05,97758.71723484833,decomposition+model/XGBoost,,,9.748977800524768e-05,brain_automl,BANKNIFTY
7,7.060919490806305e-05,94576.07252605207,decomposition+model/LSTM,,,9.998004808757735e-05,brain_automl,BANKNIFTY
7,6.958816997585719e-05,88274.17039121197,decomposition+model/RandomForest,,,0.00010276793975772128,brain_automl,BANKNIFTY
7,8.684105183563832e-05,162053.12041841316,original/XGBoost,,,0.00010531083352421069,brain_automl,BANKNIFTY
7,7.007730920323874e-05,10483110.060881948,original/XGBoost,,,0.00011087029887071808,brain_automl,NIFTY50
7,7.567560954529293e-05,13624465.592691546,original/RandomForest,,,0.0001116276736972499,brain_automl,NIFTY50
7,7.405409971793445e-05,13117948.198944831,original/ExpSmoothing,,,0.00011247057869645408,brain_automl,NIFTY50
7,7.62215325656609e-05,14105331.695993926,original/ARIMA,,,0.0001128355199918265,brain_automl,NIFTY50
7,6.817983687475824e-05,10450318.60858,original/LSTM,,,0.00011340449128211276,brain_automl,NIFTY50
7,0.0001006966680205526,208960.63704760242,original/ExpSmoothing,,,0.00011452714375827179,brain_automl,BANKNIFTY
7,6.231262729170593e-05,5538754.1365781035,decomposition+model/XGBoost,,,0.00011500607567677653,brain_automl,NIFTY50
7,8.801165122013757e-05,20685.301144941845,arima,1.3234597641992191e-08,0.4073815163550928,0.00011504172131010641,brain_automl,BANKNIFTY
7,6.5068694423227e-05,7563449.740621206,decomposition+model/LSTM,,,0.00011642478020752034,brain_automl,NIFTY50
7,6.32531127144303e-05,5557045.167294589,decomposition+model/RandomForest,,,0.00011694647457147751,brain_automl,NIFTY50
7,0.00010178268450805033,197976.87021673002,original/RandomForest,,,0.00011716318833037976,brain_automl,BANKNIFTY
7,6.570473219628553e-05,11074.124761062067,decomposition+model/ARIMA,,,0.00011733880439111174,brain_automl,BANKNIFTY
7,0.00010675351167903699,222806.32029835833,original/ARIMA,,,0.00011951128720694498,brain_automl,BANKNIFTY
7,7.322571452534019e-05,10232.835466453298,decomposition+model/ExpSmoothing,,,0.0001228079312145414,brain_automl,BANKNIFTY
7,6.428594100188394e-05,3743281.106417472,decomposition+model/ARIMA,,,0.00012299911839828357,brain_automl,NIFTY50
7,6.467287148387997e-05,1086883.9579251509,decomposition+model/ExpSmoothing,,,0.0001255736648575396,brain_automl,NIFTY50
7,9.664968591974176e-05,2629943.963090943,WeightedEnsemble,1.863601244022516e-08,0.3804457691571085,0.00013651378113664994,brain_automl,HDFCBANK
7,0.00011205203229189629,3108744.6328891492,DirectTabular,1.8781606993253266e-08,0.37560547826303614,0.00013704600320057957,brain_automl,HDFCBANK
7,0.00011473643824839053,3080739.3139252095,ETS,1.9822684287334262e-08,0.34099486377395516,0.00014079305482634526,brain_automl,HDFCBANK
7,0.00010284483656768875,317043.6694745792,decomposition+model/XGBoost,,,0.00014092416514523693,brain_automl,HDFCBANK
7,0.00010343188762825091,355795.6681645352,decomposition+model/LSTM,,,0.0001413797146452902,brain_automl,HDFCBANK
7,0.00011548870024345567,12583.884737420762,ETS,2.003913850302501e-08,0.1026879551265798,0.00014155966411031433,brain_automl,BANKNIFTY
7,0.00010746788312340144,340713.7999756456,decomposition+model/RandomForest,,,0.00014348567078609632,brain_automl,HDFCBANK
7,0.00010073791544879681,300202.5909702928,decomposition+model/ARIMA,,,0.00014408965678098476,brain_automl,HDFCBANK
7,0.00010906185710863151,2378385.3021011874,Theta,2.275408304285469e-08,0.24354051257647735,0.0001508445658379999,brain_automl,HDFCBANK
7,0.00011016811059341615,15421.47946498423,DirectTabular,2.383353012158123e-08,-0.06721721828111349,0.00015438111970568562,brain_automl,BANKNIFTY
7,0.000123422504145029,714579.4074358408,original/XGBoost,,,0.0001569934633113883,brain_automl,HDFCBANK
7,0.0001393260695529519,621183.637829489,original/RandomForest,,,0.00015762967122961194,brain_automl,HDFCBANK
7,9.688241524117442e-05,8323.370923510833,WeightedEnsemble,2.509934706529925e-08,-0.12389793786551984,0.00015842773452050385,brain_automl,BANKNIFTY
7,0.0001000656548821942,93485.6535568032,decomposition+model/ExpSmoothing,,,0.00016615043270389805,brain_automl,HDFCBANK
7,0.0001533799709413473,853530.5959582464,original/LSTM,,,0.00016709638760970409,brain_automl,HDFCBANK
7,0.0001141843268342575,14678.042731722417,AutoARIMA,2.8192401944485263e-08,-0.26239867222239566,0.0001679059318323366,brain_automl,BANKNIFTY
7,9.783562331303931e-05,4208.674738859144,Naive,2.9201217223501572e-08,-0.30757137766464937,0.00017088363650010955,brain_automl,BANKNIFTY
7,0.0001574418915371104,881313.8054714726,original/ExpSmoothing,,,0.00017093921595386893,brain_automl,HDFCBANK
