stock,model_col,horizon,mae,mse,rmse,mape,r2
BANKNIFTY,ewma_0p94,7,0.009244913863455372,8.559044547356362e-05,0.009251510442817627,202830.1125152729,-11054.368629896839
BANKNIFTY,ewma_0p94,15,0.008963834907733528,8.054742604606578e-05,0.008974821783526722,5784714.771513388,-12097.378925295692
BANKNIFTY,ewma_0p94,30,0.009650830432925075,9.38323195697051e-05,0.009686708397061672,3368611.904451406,-9568.304975872497
BANKNIFTY,garch,7,0.0102375089881346,0.00010499084054490971,0.01024650382056776,224690.67128499373,-13560.238506992067
BANKNIFTY,garch,15,0.00976030357478931,9.56328011033524e-05,0.00977920247787888,6177651.096229931,-14363.23138802839
BANKNIFTY,garch,30,0.010459823468906605,0.00011028134011040692,0.010501492280166991,3610010.1699309913,-11245.826056350905
BANKNIFTY,egarch,7,0.010547103323704636,0.00011157897138577308,0.010563094782580202,232894.17849727892,-14411.200487908887
BANKNIFTY,egarch,15,0.00991416791868187,9.89201882161556e-05,0.009945862869362094,6245370.0976270335,-14857.003280156649
BANKNIFTY,egarch,30,0.010744279912713602,0.00011673688521779277,0.010804484495698662,3672297.696372155,-11904.182155841614
BANKNIFTY,gjr_garch,7,0.01106199220939907,0.0001226279954917061,0.011073752547881233,241825.92792822834,-15838.35785127878
BANKNIFTY,gjr_garch,15,0.010065804707510517,0.00010248912250518226,0.01012369115022689,5977661.527803995,-15393.064101807624
BANKNIFTY,gjr_garch,30,0.010587398082922334,0.00011335709490925746,0.010646928895660827,3489757.213026136,-11559.50087368652
HDFCBANK,ewma_0p94,7,0.01094720266193908,0.00011994232616754673,0.010951818395478749,103573.8281523985,-13182.113839850139
HDFCBANK,ewma_0p94,15,0.011075303581199633,0.0001228762627889749,0.011084956598425403,164305.94308424837,-13143.423049710627
HDFCBANK,ewma_0p94,30,0.012096888757413106,0.0001476287641156045,0.01215025777980058,4889778.294522122,-7605.380733641971
HDFCBANK,garch,7,0.011692590044920516,0.0001368019705102916,0.011696237451004985,110425.66540353252,-15035.192880182518
HDFCBANK,garch,15,0.011678268274413596,0.0001365364858056375,0.011684882789554952,171067.822851069,-14604.695928694366
HDFCBANK,garch,30,0.012563203845289111,0.00015885050595260797,0.012603590994339985,5012191.840607707,-8183.56643761526
HDFCBANK,egarch,7,0.012113097856563117,0.0001469053835364569,0.012120453107720721,115808.03974399189,-16145.680298184598
HDFCBANK,egarch,15,0.011848412406021407,0.0001407575481087404,0.01186412862829548,175543.48431861875,-15056.234959682446
HDFCBANK,egarch,30,0.012808556263725351,0.000165397407142329,0.01286069232748879,5147389.21236032,-8520.887036164442
HDFCBANK,gjr_garch,7,0.012060504152388546,0.00014551184012540007,0.01206282886081868,112815.85088655938,-15992.5130050718
HDFCBANK,gjr_garch,15,0.011772646311249978,0.00013879276137081093,0.011781033968663826,168159.76788576893,-14846.056138324906
HDFCBANK,gjr_garch,30,0.012511102510512602,0.0001574596512071667,0.012548292760657392,4849975.327180612,-8111.904449503414
NIFTY50,ewma_0p94,7,0.008255316294875055,6.826337640530976e-05,0.008262165358143697,11552599.515897878,-11041.265042194302
NIFTY50,ewma_0p94,15,0.008112373152247849,6.592488143645586e-05,0.008119413860400014,5862865.345464234,-13613.066809023268
NIFTY50,ewma_0p94,30,0.008444020664104964,7.175505530070357e-05,0.008470835572758071,3166595.809159818,-5664.179787717434
NIFTY50,garch,7,0.00868188342459198,7.558480289319712e-05,0.008693952087123388,11981048.054222573,-12225.576982555714
NIFTY50,garch,15,0.008405342430789683,7.087946778670184e-05,0.00841899446410923,6075150.727398675,-14636.232389508077
NIFTY50,garch,30,0.008945937523494263,8.082851492985957e-05,0.008990468003939482,3288906.7303731497,-6380.544368308325
NIFTY50,egarch,7,0.0089121993648877,7.976532122603373e-05,0.008931143332520968,12213261.465226943,-12901.816481329519
NIFTY50,egarch,15,0.008477590852515194,7.2291768815741e-05,0.008502456634158212,6184836.100794647,-14927.884951406488
NIFTY50,egarch,30,0.009047805440704016,8.272287923827763e-05,0.009095211885287644,3352339.2418366484,-6530.107550242325
NIFTY50,gjr_garch,7,0.009797883943650956,9.641442563377459e-05,0.009819084765586586,13521031.92680058,-15594.971043358182
NIFTY50,gjr_garch,15,0.008745347529301952,7.78619428345385e-05,0.008823941456885268,6754744.348034141,-16078.174790044863
NIFTY50,gjr_garch,30,0.009013397906825744,8.218337492834252e-05,0.009065504670361298,3611225.5785436276,-6487.512796475883
RELIANCE,ewma_0p94,7,0.012814774258847078,0.00016443588231334936,0.012823255527101897,1462487.575557484,-7864.813154559797
RELIANCE,ewma_0p94,15,0.012785294613239169,0.00016369255585172059,0.01279423916658277,698347.3170484414,-8945.937529169742
RELIANCE,ewma_0p94,30,0.01326823938009334,0.00017688084781487665,0.013299655928439527,368347.1289045854,-3699.3198554009196
RELIANCE,garch,7,0.014469545148083518,0.00020962803308381475,0.014478536980089347,1648871.6519001368,-10026.585931962398
RELIANCE,garch,15,0.014268871039412998,0.00020385424129887273,0.014277753370151507,786945.9369168623,-11141.053176868018
RELIANCE,garch,30,0.014850659292623308,0.00022147781617516587,0.014882130767304992,415012.15830512904,-4632.281504742276
RELIANCE,egarch,7,0.015190126017977193,0.00023132979094614209,0.015209529609627712,1772458.3979336577,-11064.69251836594
RELIANCE,egarch,15,0.015124836246363684,0.00022921006576254145,0.015139685127589063,845888.8306040239,-12526.92546835166
RELIANCE,egarch,30,0.015591349679048063,0.000244059729348334,0.015622411124673873,445225.0295631156,-5104.6916199123925
RELIANCE,gjr_garch,7,0.01511949135631574,0.00022892034898504312,0.015130113977926376,1715797.3600875728,-10949.43652918564
RELIANCE,gjr_garch,15,0.014706660165388852,0.00021665979810068945,0.014719368128445237,818462.613509788,-11840.965986805884
RELIANCE,gjr_garch,30,0.015053356668009209,0.00022708545807153453,0.01506935493216397,430326.4880959902,-4749.592501989576
TCS,ewma_0p94,7,0.013258967574163004,0.00017627176215920053,0.01327673763238547,331755.3532815355,-4285.949453817952
TCS,ewma_0p94,15,0.013373684915196919,0.0001792939902995224,0.013390070586054518,243970.2521747552,-5935.040330336501
TCS,ewma_0p94,30,0.014086559339312198,0.00020022952819678767,0.014150248343996924,185207.3140507988,-1548.5992753821865
TCS,garch,7,0.014093408830470932,0.00019908640242942427,0.01410979810023603,352334.9430800896,-4840.804119406168
TCS,garch,15,0.013990168590900992,0.00019609955953200112,0.014003555246150925,255342.18937639665,-6491.436763767442
TCS,garch,30,0.014877098664396253,0.00022318475488995631,0.014939369293579844,193079.77726849564,-1726.2524066176952
TCS,egarch,7,0.014052290689930738,0.00019833029167410005,0.014082978792645398,349674.51118779124,-4822.415419197705
TCS,egarch,15,0.013849670915695687,0.00019244097145830764,0.013872309521428206,252811.13464422352,-6370.30874201249
TCS,egarch,30,0.014500018911439445,0.0002119649954016324,0.014559017666093837,191183.09696085827,-1639.4214015724162
TCS,gjr_garch,7,0.014844720787718485,0.00022112978794658794,0.014870433347639468,370103.93011286284,-5376.901781025709
TCS,gjr_garch,15,0.014187945596281682,0.00020219329555715298,0.01421946889152872,260172.47653095247,-6693.18732298751
TCS,gjr_garch,30,0.014786532377154998,0.0002201539513026631,0.01483758576395308,193370.56043318968,-1702.7966701686762
