model,library,horizon,mean_rmse,std_rmse,n_stocks
original/XGBoost,classical,7,0.00018851460332690588,0.00010169049053974219,5
decomposition+model/LSTM,classical,7,0.00019079012431923552,0.00011325895064839791,5
original/RandomForest,classical,7,0.00019108180509662986,9.82548211826182e-05,5
decomposition+model/XGBoost,classical,7,0.00019441300456392324,0.00011853120756762549,5
decomposition+model/RandomForest,classical,7,0.00019547460312787477,0.00011608047558665254,5
original/XGBoost,classical,15,0.00018851460332690588,0.00010169049053974219,5
decomposition+model/LSTM,classical,15,0.00019079012431923552,0.00011325895064839791,5
original/RandomForest,classical,15,0.00019108180509662986,9.82548211826182e-05,5
decomposition+model/XGBoost,classical,15,0.00019441300456392324,0.00011853120756762549,5
decomposition+model/RandomForest,classical,15,0.00019547460312787477,0.00011608047558665254,5
arima,flaml,30,0.0001804340232404385,0.00010947295426024633,4
AutoARIMA,statsforecast,30,0.0001855440720505285,9.490827085823617e-05,5
original/XGBoost,classical,30,0.00018851460332690588,0.00010169049053974219,5
WeightedEnsemble,autogluon_timeseries,30,0.00019039737476904918,0.00010340753804807907,5
ETS,autogluon_internal,30,0.00019047074986666118,9.456103788888512e-05,5
