source,model_col,horizon,mean_rmse,mean_mae,mean_mape,mean_r2,n_stocks
brain_automl,original/XGBoost,7,0.00018851460332690588,0.0001295498234080034,2273282.1158185136,,5
brain_automl,decomposition+model/LSTM,7,0.00019079012431923552,0.00011608567164819684,1603803.801865778,,5
brain_automl,original/RandomForest,7,0.00019108180509662986,0.00013828964554081648,2890246.428331635,,5
brain_automl,decomposition+model/XGBoost,7,0.00019441300456392324,0.00011463571580703146,1191433.223550644,,5
brain_automl,decomposition+model/RandomForest,7,0.00019547460312787477,0.00011436478949929799,1197863.4027176923,,5
brain_automl,original/ExpSmoothing,7,0.00019600716498561276,0.0001384730500407292,2842919.211289622,,5
brain_automl,original/ARIMA,7,0.00020162737269730917,0.00014457984483199756,3070872.3356523737,,5
brain_automl,decomposition+model/ARIMA,7,0.0002103232957824669,0.0001151589524487137,811112.9809612224,,5
brain_automl,original/LSTM,7,0.00021689074683140978,0.00016098692570068506,2343014.6882253406,,5
brain_automl,decomposition+model/ExpSmoothing,7,0.00021774913426623864,0.00011928999028945613,238238.937203697,,5
brain_automl,arima,7,0.0002666149364281044,0.0001796274551566508,1492198.4500381337,0.013540047133700328,4
brain_automl,DirectTabular,7,0.0002891993707867018,0.00018113672475474546,625183.4885058539,-0.0003521122744112315,5
brain_automl,ETS,7,0.00029601988826716275,0.00018731976539470503,618895.3410748921,-0.04676572550366827,5
brain_automl,WeightedEnsemble,7,0.00030477781238982934,0.00017480090506013108,527864.2648072164,-0.12265957152623219,5
brain_automl,Theta,7,0.00031887571415200694,0.00020446334194311016,477753.9947009039,-0.3401172936895396,5
brain_automl,AutoARIMA,7,0.0003198783863901766,0.00020457764714238872,800724.5857915793,-0.31306181809409794,5
brain_automl,Naive,7,0.00035748133530089457,0.0002248095315415147,1707252.8279701236,-0.9060338677332356,5
brain_automl,RecursiveTabular,7,0.00036025158223861395,0.000252411577289059,1899162.6727573476,-0.8802979032835008,5
brain_automl,SeasonalNaive,7,0.0003783112378079964,0.00027036293071730077,1704230.9463830572,-1.2100450777485936,5
brain_automl,xgb_limitdepth,7,0.0003881694732038715,0.00022367163294159057,808.0866194554238,-0.17051013899197498,1
vol_baseline,ewma_0p94,7,0.010913097471185488,0.010904234930655917,2730649.277080914,-9485.702024063805,5
vol_baseline,garch,7,0.011845005687804302,0.01183498728724031,2863474.197178265,-11137.679684219773,5
vol_baseline,egarch,7,0.012181439925019,0.012162963450612676,2936819.318517932,-11869.161040997331,5
vol_baseline,gjr_garch,7,0.012591242699970468,0.012576918489894558,3192314.999163161,-12750.436041984021,5
brain_automl,original/XGBoost,15,0.00018851460332690588,0.0001295498234080034,2273282.1158185136,,5
brain_automl,decomposition+model/LSTM,15,0.00019079012431923552,0.00011608567164819684,1603803.801865778,,5
brain_automl,original/RandomForest,15,0.00019108180509662986,0.00013828964554081648,2890246.428331635,,5
brain_automl,decomposition+model/XGBoost,15,0.00019441300456392324,0.00011463571580703146,1191433.223550644,,5
brain_automl,decomposition+model/RandomForest,15,0.00019547460312787477,0.00011436478949929799,1197863.4027176923,,5
brain_automl,original/ExpSmoothing,15,0.00019600716498561276,0.0001384730500407292,2842919.211289622,,5
brain_automl,original/ARIMA,15,0.00020162737269730917,0.00014457984483199756,3070872.3356523737,,5
brain_automl,decomposition+model/ARIMA,15,0.0002103232957824669,0.0001151589524487137,811112.9809612224,,5
brain_automl,arima,15,0.00021087174665695616,0.000148732204205318,697706.9113586202,-0.05570231878581719,4
brain_automl,original/LSTM,15,0.00021689074683140978,0.00016098692570068506,2343014.6882253406,,5
